Organization Name,Organization Name URL,Headquarters Location,Website,LinkedIn
Trilogy Education Services,https://www.crunchbase.com/organization/trilogy-education-services,"New York, New York, United States",http://www.trilogyed.com,https://www.linkedin.com/company-beta/10164760/
Johns Hopkins University,https://www.crunchbase.com/organization/johns-hopkins-university,"Baltimore, Maryland, United States",http://www.jhu.edu/,http://www.linkedin.com/company/johns-hopkins-university
Cornerstone OnDemand,https://www.crunchbase.com/organization/cornerstone-ondemand,"Santa Monica, California, United States",http://www.cornerstoneondemand.com,http://www.linkedin.com/company/cornerstone-ondemand
News Corp.,https://www.crunchbase.com/organization/newscorporation,"New York, New York, United States",http://www.newscorp.com/,https://www.linkedin.com/company/newscorp
Houghton Mifflin Harcourt,https://www.crunchbase.com/organization/houghton-mifflin-harcourt,"Boston, Massachusetts, United States",http://www.hmhco.com,http://www.linkedin.com/company/houghton-mifflin-harcourt
Dude Solutions,https://www.crunchbase.com/organization/dude-solutions,"Cary, North Carolina, United States",http://dudesolutions.com,https://www.linkedin.com/company/dude-solutions
University of Texas at Austin,https://www.crunchbase.com/organization/university-of-texas-at-austin,"Austin, Texas, United States",http://www.utexas.edu,https://in.linkedin.com/edu/the-university-of-texas-at-austin-19518
2U Inc.,https://www.crunchbase.com/organization/2u,"Hyattsville, Maryland, United States",http://2u.com,https://www.linkedin.com/company/2u
Kaltura,https://www.crunchbase.com/organization/kaltura,"New York, New York, United States",http://corp.kaltura.com,http://www.linkedin.com/company/kaltura
Chegg,https://www.crunchbase.com/organization/chegg,"Santa Clara, California, United States",http://www.chegg.com,https://www.linkedin.com/company/137338
"University of California, San Francisco",https://www.crunchbase.com/organization/university-of-california-san-francisco,"San Francisco, California, United States",http://www.ucsf.edu,https://www.linkedin.com/company/ucsf
General Assembly,https://www.crunchbase.com/organization/general-assembly,"New York, New York, United States",https://generalassemb.ly/,https://www.linkedin.com/school/general-assemb-ly/
Change Healthcare,https://www.crunchbase.com/organization/change-healthcare,"Brentwood, Tennessee, United States",http://www.changehealthcare.com,http://www.linkedin.com/company/change-healthcare
Pluralsight,https://www.crunchbase.com/organization/pluralsight,"Farmington, Utah, United States",http://www.pluralsight.com,http://www.linkedin.com/company/pluralsight
GLG (Gerson Lehrman Group),https://www.crunchbase.com/organization/gerson-lehrman-group,"New York, New York, United States",http://GLG.it,https://www.linkedin.com/company/163983
Lynda,https://www.crunchbase.com/organization/lynda-com,"Carpinteria, California, United States",http://www.lynda.com,https://www.linkedin.com/company/lynda.com
Quad/Graphics,https://www.crunchbase.com/organization/quad-graphics,"Sussex, Wisconsin, United States",http://www.qg.com/,http://in.linkedin.com/company/quadgraphics
Age of Learning,https://www.crunchbase.com/organization/age-of-learning,"Glendale, California, United States",http://www.ageoflearning.com,http://www.linkedin.com/company/age-of-learning-inc.
Simplilearn,https://www.crunchbase.com/organization/simplilearn,"San Francisco, California, United States",http://www.simplilearn.com,http://www.linkedin.com/company/simplilearn
Renaissance Learning,https://www.crunchbase.com/organization/renaissance-learning,"Wisconsin Rapids, Wisconsin, United States",http://www.renaissance.com,http://www.linkedin.com/company/renaissance-learning
California State University,https://www.crunchbase.com/organization/california-state-university,"Long Beach, California, United States",http://www.calstate.edu/,https://www.linkedin.com/company/binance-helpdesk
SunGard,https://www.crunchbase.com/organization/sungard,"Wayne, Pennsylvania, United States",http://www.sungard.com,https://www.linkedin.com/company/sungard
Open English,https://www.crunchbase.com/organization/open-english,"Miami, Florida, United States",http://www.openenglish.com,https://www.linkedin.com/company/open-english
Freedom Financial Network,https://www.crunchbase.com/organization/freedom-financial-network,"San Mateo, California, United States",http://freedomfinancialnetwork.com,https://www.linkedin.com/company/freedom-financial/
InstaEDU,https://www.crunchbase.com/organization/instaedu,"San Francisco, California, United States",http://instaedu.com,
Craftsy,https://www.crunchbase.com/organization/sympoz,"Denver, Colorado, United States",http://www.craftsy.com,http://www.linkedin.com/company/craftsy
Edmentum,https://www.crunchbase.com/organization/edmentum,"Bloomington, Minnesota, United States",http://www.edmentum.com,http://www.linkedin.com/company/edmentum
JumpStart,https://www.crunchbase.com/organization/jumpstart-2,"Torrance, California, United States",http://www.jumpstart.com,
"Laureate Education, Inc.",https://www.crunchbase.com/organization/laureate-education,"Baltimore, Maryland, United States",http://www.laureate.net,http://www.linkedin.com/company/laureate-international-universities
LabCorp,https://www.crunchbase.com/organization/laboratory-corporation-of-america,"Burlington, North Carolina, United States",https://www.labcorp.com,https://www.linkedin.com/company/labcorp
Teach for America,https://www.crunchbase.com/organization/teach-for-america,"New York, New York, United States",http://www.teachforamerica.org/,http://www.linkedin.com/company/teach-for-america
